id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified0fa7eb57-9bb0-48ec-b2ac-b2aae38cd20d;Panorama-Säli 2;2025-02-07T19:33:06+01:00
157db61d-6c1b-4f45-bea1-5c472fee5756;Widnau;2024-11-29T13:32:31+01:00
1b66cbd1-d873-476a-bbb0-4d74c9454313;Park (outdoor);2024-11-29T13:32:45+01:00
3b5a8353-d4a9-4231-9394-f01691f91454;Balgach;2024-11-29T13:32:49+01:00
3beb7c1f-9b35-4cae-adbd-82987275e9e1;Pilgerherberge St.Gallen;Eine Herberge am Rand der Altstadt St.Gallen! Nur Pilgerinnen und Pilger zu Fuss finden hier eine günstige und herzliche Unterkunft für eine Nacht. Sie weisen sich dafür mit einem Pilgerpass aus oder erstehen sich ein Exemplar in der Herberge.;Die Herberge liegt am Rand der Altstadt St.Gallen, direkt am Jakobsweg, dem Kolumbansweg und an der Via Francisca, drei der bedeutendsten Pilgerwege, die durch die Schweiz führen. Die Pilgerherberge Sankt Gallen wird von einem engagierten Team ehrenamtlicher Hospitaleras und Hospitaleros geführt – viele von ihnen sind selbst erfahrene Pilgerinnen und Pilger. Sie sorgen mit viel Engagement und Gastfreundschaft dafür, dass sich die Pilger willkommen fühlen. Die Tradition der Pilgerherbergen geht auf Klöster, Hospitäler und Hospize zurück, die seit Jahrhunderten Pilgernde auf ihrem Weg unterstützen. Die Pilgerherberge St.Gallen setzt diese Tradition fort und bietet eine einfache, aber gemütliche Unterkunft für alle, die auf Pilgerwegen unterwegs sind.;9.3830486;47.4249312;Linsebühlstrasse 61;9000;St.Gallen;+41 71 220 00 62;verein@pilgerherberge-sg.ch;https://pilgerherberge-sg.ch/reservation/;[{'@type': 'ImageObject', 'contentUrl': 'https://sgbtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/1/4/2/41428b5bfc5473fd74a9d488bd9572dce986142e_pilgerherberge_st.gallen.jpg'}];2025-09-08T14:32:32+02:00
5096e31e-0983-4d73-b6d9-65259ec30274;Panorama-Säli 1;2025-02-07T19:33:00+01:00
553713bf-2f0f-4780-82fe-06c1630345c7;Weinkeller;2024-11-29T13:33:23+01:00
791dbfb5-d956-4618-9224-983342347404;Medienraum Talstation Schwebebahn;2025-04-24T12:08:32+02:00
9b01e108-2448-4d0a-a9af-332e2f99f992;Churfistenblick;2025-02-11T10:44:13+01:00
a9423ee3-8aa9-4781-b862-f7a7f35897b7;Heerbrugg;2024-11-29T13:32:22+01:00
ea41b459-f172-4927-acdb-4d6e9c008c2e;Kaminzimmer;2024-11-29T13:31:41+01:00
